description,playlist_link,track URI,track_name,track_album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_track,track_release_date,main_artist_name,main_artist_popularity,all_artist,all_followers,artist_genres,Lyrics,words/min,word count
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,5VuxWXbt7XENQCtE9TzpTv,Spoil My Night (feat. Swae Lee),beerbongs & bentleys,0.672,0.717,1,-2.714,1,0.034,0.341,2.4e-05,0.106,0.225,160.981,194560,66,4/27/18,Post Malone,89,"['Post Malone', 'Swae Lee']","[39443916, 1601010]","[['dfw rap', 'melodic rap', 'rap'], ['melodic rap', 'trap']]","Yeah I don't have much to say, I'll be out front Won't you come spoil my night? Feelings come into play, and I'm thinking this happens every time Spoil my night, spoil my night Spoil my night (my night) Spoil my night, spoil my night My necklace had a natural glow She dancing in the strobe Let's fucking spoil my night (spoil my night) Spent so much cash, I lost her My cup was too toxic I took her robe off (yeah) I couldn't get her off me Dropped plenty money on her thighs There's plenty room in my ride I've never been like a small fry She took me in, that's on my life Spoil my night, spoil my night Spoil my night (my night) Spoil my night, spoil my night I don't have much to say, I'll be out front Won't you come spoil my night? (Spoil my night) Feelings come into play, and I'm thinking this happens every time Yeah, when I walk up in a party, they all act like they know me Then I spotted lil' mama through the wall of jabronis (ooh) Point her out so I can bag her, if they just bring her to me (bring her to me) I ain't even see the face, but she got beautiful boobies (wow) And she see those diamonds in my teeth (in my teeth) I see her smiling back at me (back at me) I think she rock with me like Jumanji (Jumanji) It's about time, Postmate Plan B Now she whipping out her phone and I know (and I know) Damn, how many videos you gon' post? Everybody on the 'Gram gonna know My girl at home now my line about to blow (yeah) I know what I'm doing ain't right But ain't no need to spoil my night No need, no need Spoil my night, spoil my night Spoil my night (my night) Spoil my night, spoil my night I don't have much to say, I'll be out front Won't you come spoil my night? (Spoil my night) Feelings come into play, and I'm thinking this happens every time (yeah) ♪ Spoil my night Spoil my night Spoil my night Spoil my night Spoil my night ♪ Spoil my night",116.57072368421052,378.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,0AzqJBVMdHP9ijAadQ0T18,Sober (feat. Roddy Ricch & Post Malone),I GOT ISSUES,0.671,0.46,7,-8.643,0,0.215,0.12,0.0,0.106,0.298,83.877,253913,66,9/30/22,YG,76,"['YG', 'Roddy Ricch', 'Post Malone']","[3013105, 8848108, 39443916]","[['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['melodic rap', 'rap', 'trap'], ['dfw rap', 'melodic rap', 'rap']]","She only like me when I'm sober, that's when I don't like me at all She like fuckin', think you know her, she don't even answer when I call I put her in a Rover, told her, ""Girl, just be down for the call"" 'Cause when I'm not sober, that's when I be down your walls I like it faded (faded), I like you better when you naked (naked) Put it in my face, I wanna taste it Pour me a whole cup, fuck chasin' it (fuck chasin' it) I'm in love with gold bottles and Don Juli' I love 'em how I love slim bitches with big booties It keep me in my mood, I be moody And Mama always told me actin' hard kill all the coolies So, I hope you answer when I call 'Cause I'm tryna pull up, kiss you, dick you down and all Please don't kill the vibe bringin' up the alcohol 'Cause this is nothin' new if you knew me She only like me when I'm sober, that's when I don't like me at all She like fuckin', think you know her, she don't even answer when I call I put her in a Rover, told her, ""Girl, just be down for the call"" 'Cause when I'm not sober, that's when I be down your walls Got her dirty out the soda 'cause I'm never sober Fell up ice to the brim, brim, brim, I like it colder I've been sippin' promethazine ever since I blowed up Stay away, these codeine demons got ahold of me But, when I'm sober, that's the only time she love me And when I poured up, she don't wanna be in my company Even though I double C, five star, I don't do no double tree These young niggas, they can't fuck with me Been makin' big bucks when time get rough, can't kick the cup Big cuban links and g-locks don't keep it tucked Slide in floor seats with nice ice look like a puck I'm still sippin' on this drink, I won't wanna give it up She only like me when I'm sober, that's when I don't like me at all She like fuckin', think you know her, she don't even answer when I call I put her in a Rover, told her, ""Girl, just be down for the call"" 'Cause when I'm not sober, that's when I be down your walls I was in the stu' with YG and got drunk And I called you on the phone, baby, I was fucked up Had my heart felt like it was hit with nunchucks I didn't expect for us to split up And I didn't think that you wouldn't talk to me for months So I cracked one open like I was in Somalia The wine taste shitty when you won't even talk to me (talk to me) Mmm-hmm-mmm (talk to me) Baby, I promise I'ma make you proud (ooh) I'ma be a changed man when you come around But thank God you don't want me back now Wanna tell you that I love you, but the beer would fall out She only like me when I'm sober, that's when I don't like me at all (ooh-ooh-ooh) She like fuckin', think you know her, she don't even answer when I call (ooh-ooh-ooh) I put her in a Rover, told her, ""Girl, just be down for the call"" 'Cause when I'm not sober, that's when I be down your walls She only like me when I'm sober, that's when I don't like me at all She like fuckin', think you know her, (damn) she don't even answer when I call I put her in a Rover, told her, ""Girl, just be down for the call"" 'Cause when I'm not sober, that's when I be down your walls 'Cause when I'm not sober 'Cause when I'm not sober 'Cause when I'm not- 'Cause when I'm not sober",155.9589308148854,660.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,6HUagzhI0vaGvmemdVbyCv,America (feat. Post Malone & Saucelord Rich),Shameless,0.831,0.503,6,-8.413,1,0.301,0.154,0.0,0.441,0.494,124.017,216774,33,2/13/15,Blake Banks,25,"['Blake Banks', 'Post Malone', 'Saucelordrich']","[1073, 39443916, 150]","[[], ['dfw rap', 'melodic rap', 'rap'], []]","The president should tell me that it's money time Amendment number two make sure I keep my money mine Motherfucker going crazy with hysteria Bitch it's just another day in America In America, in America Bitch, it's just another day in America In America, in America Bitch, it's just another day in America I just touched down, LAX to JFK Thank God for America, another day I roll one up, then I call my bae She blow my top, call that JFK Bled a star, bitch, I earned my stripes Xanax bars, Hi-Tech in my Sprite (pour up) LA to the go, bitch, I ball like Mike Just left the mall, now I'm fly like kite Shipping 'round the country, but damn, getting money Riding presidential with a Playboy bunny Runback when I used to be bumming Now laughed at a hater, like damn that shit is funny Hey the day is sunny and the grass is green I'ma get paid by any means Made 30K just off of weed I do what I want, that's American-dream It's Blake! The president should tell me that it's money time Amendment number two make sure I keep my money mine Motherfucker going crazy with hysteria Bitch, it's just another day in America I'm stuck in my old ways The only thing gon' kill me is that O.H I been high fo' four days Juice'll kill that problem, that's that O.J The product of my father selling cocaine Hang with me, I'll sure to hold my rope game My main bitch, she still trapping to my O.J.'s Smiling in your face, yeah that's the O.J.'s Sauce on top of err'thang, she gon' earn the stripes Leave her tail red like an airplane Nice like this, I feel like Eddie Cane Only difference is I'm in here draped up like Big Daddy Kane Homie you don't hear me though Broke bitch, what you need? Drugs and a lil' liquor White House probably got everything Jewelry game, black car Living the American dreams Money green, weed green, lean green, same color scheme The president should tell me that it's money time Amendment number two make sure I keep my money mine Motherfucker going crazy with hysteria Bitch, it's just another day in America In America, in America Bitch, it's just another day in America In America, in America Bitch, it's just another day in America",110.7143845664148,400.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,7yWQRTDYazfVjFvmjtYfGQ,Gemini,Heart Full of Rage,0.799,0.705,10,-2.985,1,0.0543,0.218,8.75e-06,0.0928,0.756,155.044,186890,50,2/22/19,Tyla Yaweh,63,['Tyla Yaweh'],[492596],"[['cali rap', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']]","O-oh, yeah yeah, yeah (Hector sounds) Yeah, yeah Switching up her role, such a Gemini Can't make up her mind, like a Gemini She stay on the road, take off in the night Always a surprise, such a Gemini Never tell her no when she catch a vibe She go side to side, like a Gemini Show up to my show, she don't stand in line Always stayin' high, that's my Gemini, Gemini She got a lotta love to give away ""Need you here with me"" is what she say She don't wanna go out her way I don't really mind anyways I'm on the west side and I'm Ready for the ride of my life So I'm coming out your way Touching on her then she wanna put my hands away, yeah She the type to keep me on my toes One moment she up and then she low I heat her up and then she actin' cold But she already know Switching up her role, such a Gemini Can't make up her mind, like a Gemini She stay on the road, take off in the night Always a surprise, such a Gemini Never tell her no when she catch a vibe She go side to side, like a Gemini Show up to my show, she don't stand in line Always stayin' high, that's my Gemini, Gemini She tell me time to time that she ain't crazy But the way she actin' now lookin' hazy And when we in the bed she never lazy She keep it real smart, real brainy I put it on her right and I Do it how she like every night So I'm headed to her place Touching on her then she wanna put my hands away She the type to keep me on my toes One moment she up and then she low I heat her up and then she actin' cold But she already know Switching up her role, such a Gemini Can't make up her mind, like a Gemini She stay on the road, take off in the night Always a surprise, such a Gemini Never tell her no when she catch a vibe She goes side to side, like a Gemini Show up to my show, she don't stand in line Always stayin' high, that's my Gemini, Gemini",124.5652522874418,388.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,78,8/28/20,Internet Money,72,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']","[691210, 4900247, 2502726, 3196663]","[['pop rap', 'rap', 'trap', 'viral rap'], ['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap'], ['rap', 'trap'], ['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'vapor trap']]","Xanny bars, suicide door, brand new bag College girls give a nigga head in my Rafs Rockstar life, so much money it'll make you laugh, hey These bitches, they hate, and you can't miss what you never had Hey, hey Off the juice (juice), codeine got me trippin' (juice) Copped the coupe (coupe), woke up, roof is missin' (yeah) Ice (ice), lemonade, my neck was drippin' Ice (ice), lemonade, my neck was drippin' Addy boys, got some 60's in my bag (yeah) Lips sealed, ain't pillow talkin', I'm no rat (no) In my earlobe, got two karats, VVS (bling) Got a penthouse near Rodeo off of stress (stress) All this money, when I grew up, I had nothing (nothing) Filled with backstabbers, my old life was disgusting (disgusting) Can't believe it, gotta thank God that I'm living comfortably (thank God) Gettin' checks, I don't believe her, she say she done with me Burned some bridges and I let the fire light the way (oh-woah) Kickin' my feet up, left the PJ's on a PJ (PJ) Yeah, I'm a big dawg, and I walk around with no leash (oh) I got water on me, yeah, everythin' on Fiji Xanny bars, suicide door, brand new bag College girls give a nigga head in my Rafs Rockstar life, so much money it'll make you laugh, hey These bitches, they hate, and you can't miss what you never had Hey, hey Off the juice (juice), codeine got me trippin' (juice) Copped the coupe (coupe), woke up, roof is missin' (yeah) Ice (ice), lemonade my neck was drippin' Ice (ice), lemonade my neck was drippin', ayy I'm a rockstar, play guitars, sippin' 'Wock, hey (hey) Adderall, fentanyl, Xanax bars, ayy (hey) I was 15, I was sippin' codeine with my dawg, yeah (codeine) Pretty Percocet, Promethazine, I feel gnarly (Promethazine) Put up a stick and I hop on a plane I'm still in my war ways (war ways) Shit is so risky, I gotta be gifted He blessed me with fortune and fame (fortune and fame, nice) I remember from 50, I couldn't go back empty I know I was stuck to the game, ah (stuck) I'm loyal and I'll never change, nah I'm never gon' go against the grain (go against the grain) Never gon' be the one turn on my brother When police got us detained (nah) I would never love a bitch more than my mother And that's on my government name (nah) I can't be no sucker, I'm hatin' on no one And wish everybody get paid (paid) 'Cause we countin' up every day (every day) Gettin' high 'til I land in the grave Xanny bars, suicide door, brand new bag College girls give a nigga head in my Rafs Rockstar life, so much money it'll make you laugh, hey These bitches, they hate, and you can't miss what you never had Hey, hey Off the juice (juice), codeine got me trippin' (juice) Copped the coupe (coupe), woke up, roof is missin' (yeah) Ice (ice), lemonade my neck was drippin' Ice (ice), lemonade my neck was drippin' Yeah-yeah, yeah",159.0347389589058,518.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,12Fkyg9lpmaz2zmKOfw2Y2,On The Road (feat. Meek Mill & Lil Baby),Hollywood's Bleeding,0.442,0.737,7,-5.046,1,0.109,0.0589,0.0,0.102,0.21,112.93,218320,70,9/6/19,Post Malone,89,"['Post Malone', 'Meek Mill', 'Lil Baby']","[39443916, 6851438, 12800156]","[['dfw rap', 'melodic rap', 'rap'], ['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['atl hip hop', 'atl trap', 'rap', 'trap']]","Mm, mm, mm Mm 'Cause they ain't ever seein' me fold under pressure They ain't never, ever seen me fold, nah, never Always keep one up on 'em 'cause I'm too clever I would never, ever sell my soul, nah, never 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time Yeah, they bet I'ma fall And I'm only 24, but, bitch, I been through it all I got so many hits, can't remember them all While I'm takin' a shit, look at the plaques on the wall Y'all just sit back, won't you kick back Keep on actin' like you did that, got no respect For nobody who's just fake in life, ayy, ayy You ain't really who you say you are So pick up the pace, there ain't no slowin' me up Get the fuck out my face, can you stop blowing me up? 'Cause my time is expensive, one mill a setlist Bought a new car 'fore you woke up for breakfast, yeah 'Cause they ain't ever seen me fold out of pressure They ain't never, ever seen me fold, nah, never Always keep one up on 'em 'cause I'm too clever I would never, ever sell my soul, nah, never 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time Yeah, where you been? When it was time to do some work and put it in I just be laughin' when I see 'em, look at them (ha) Leave when I lose and pop back up as soon as I win (uh) You ain't my day one and I know you not my friend So I can't judge you when you do some phony shit and just pretend Like you really down with me, 'cause bein' loyal starts within I seen that money overpower that love and turn it thin But it ain't stop me, I just kept goin' up, took it on the chin I wish every time they said I would fold, I'd make an M Fuck around and be as rich as Jeff Bezos, say it again Never lose, I go overtime on 'em, stay in that gym Let's get it 'Cause they ain't ever seein' me fold under pressure They ain't never, ever seen me fold, nah, never Always keep one up on 'em 'cause I'm too clever I would never, ever sell my soul, nah, never 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time I'm tired of bein' tired This my last shot, you can't be mad, at least I tried We supposed to be grown, but yet you still acting childish I can get on the jet alone, I don't need no extra baggage This year turned into a savage, I got baguettes in my necklace Driving fast and I won't crash it and I'm supposed to be sober But some kind of way, I just keep getting loaded It's gonna take more than some pressure to fold me Tried as hard as I can, but at this point it's outta my hands I ain't runnin' out of these bands for nothin' or no one She say I'm a dog, but it takes one to know one Been goin' hard, been by myself, I don't need no love 'Cause they ain't ever seein' me fold under pressure They ain't never, ever seen me fold, nah, never Always keep one up on 'em 'cause I'm too clever I would never, ever sell my soul, nah, never 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time 'Cause I been on the road, been on the road, I Quit actin' like you been with me this whole time Mm, oh, oh no Mm, oh, oh no On the road, oh",199.798460974716,727.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,4cwrZdlGau9HsvmqXK44cd,upsides,upsides,0.719,0.495,10,-5.889,0,0.18,0.0914,3.15e-06,0.104,0.471,84.983,135576,69,6/24/22,Nic D,70,['Nic D'],[239482],"[['pop', 'pop rap']]","(One hunnid) (Wow, keep it up, Gavin!) Baby, are you up right now? Let's talk, meet me in the upside down Bein' with me got a lot of upsides now Got a lot of upsides now She don't want a saint, she want Saint Laurent No matter what I say, she gon' take it wrong And baby wanna play, so I play along And little does she know that I ain't stayin' long, uh I hear you gotta battle with balance and paranoia Just the part of me that's tryin' to get to know ya And every day's a battle to get this chip from my shoulder In every conversation I gotta hold back, I told ya, yeah And I remember it was hateful, but you said it And I ain't gonna hold on to it, won't use it for leverage And I know you was goin' through it, I don't think you meant it Nah (I don't think you meant it) Baby, are you up right now? Let's talk, meet me in the upside down Bein' with me got a lot of upsides now Got a lot of upsides now She don't want a saint, she want Saint Laurent No matter what I say, she gon' take it wrong And baby wanna play, so I play along And little does she know that I ain't stayin' long, uh And they pickin' my pocket, they takin' my wallet But I don't have the energy to even try and stop it And if I'm bein' honest, I don't like bein' modest I'd rather go and tell 'em, babe, rather go and tell 'em, nah Ooh, we not a parody, you need my love again Show me the way, baby, I'ma keep walkin' They throwin' shade, baby, we just keep dodgin' No other way, baby, no other way, baby Run from all the pain, but it just don't hit the same This is from the hip, don't aim, this is everything I came What is, what's gon' make you dangerous? What's gon' keep me stayin' here wit' you? So what's gon' keep me? Baby, are you up right now? Let's talk, meet me in the upside down Bein' with me got a lot of upsides now Got a lot of upsides now",168.17135776243583,380.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,6V7g6qM8wheMivMWrzbPTM,Leave Me Alone,LOVE FOR GUALA,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,195637,71,11/22/19,Flipp Dinero,62,['Flipp Dinero'],[1176744],"[['melodic rap', 'pop rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']]","Yah, yah Yeah, I miss you but I got no time for that (Damn, yah) Yah eh, yah eh Yeah, I miss you but I got no time for that How could you, wish you never played me Have no time for that (damn) Play me you're my lady Got no time for that How could you Moving like you're crazy I ain't call you back (damn) Leave me alone Drunk as fuck Bitch you dumb as fuck Running up the bucks (d-damn, ay) Leave me alone Drunk as fuck Bitch you dumb as fuck Bitch you down or what (ya) Leave me alone Drunk as fuck Bitch you dumb as fuck Running up the bucks (damn, ay) Leave me alone Yah, yah, yah, yah (ay) Yeah, I miss you but I got no time for that You was my little lady, drive me crazy I was fine with that (damn) How you just gon' play me I ain't fine with that Thinking 'bout you daily Smoking crazy while I'm off the tac (damn) Flexin', oh how we would flex it Always had told you that you'd be a star Goals in our checklist (damn) Question, or check your message Knew that I'd come for the beat from the start Or she was texting (damn) Demon she called (yah) Leave and I'm gone (yah) Feenin' she on (yah) Dreaming we on (yah) Drop us a coupe Dropping the top of my car (ay) I cannot love on a bitch when she fucking the clique Man she playing her part (yeah, damn, ay) Life is a bitch, knew all that shit from the start (ay) I told myself I walk up from that bitch and She leave all that shit in the dark (like damn) Leave me alone Drunk as fuck Bitch you dumb as fuck Running up the bucks (damn, ay) Leave me alone Drunk as fuck Bitch you dumb as fuck Bitch you down or what (ya) Leave me alone Drunk as fuck Bitch you dumb as fuck Running up the bucks (damn) Leave me alone Yah, yah, yah, yah You can't play me, I'm just wavy Sipping purple 'til I'm lazy Like a throwback I ain't see how you ain't know that Hit my bop like I'm Lil Kodak On the block where it ain't good at I can't sweat you I'm like who dat? I can't sweat you I don't do that (nah, nah, ay) Tell you the truth I ain't want you to depart (ay) I wanted you but I can't fuck with you 'Cause you different, you can't play your part (no damn, ay) Tell you the truth I wanted you from the start (ay) I cannot fuck on no bitch I can't love when the bitch is not playing her part (like damn) Leave me alone Drunk as fuck Bitch you dumb as fuck Running up the bucks (damn, ay) Leave me alone Drunk as fuck Bitch you dumb as fuck Bitch you down or what (ya) Leave me alone Drunk as fuck Bitch you dumb as fuck Running up the bucks (damn, ay) Leave me alone Yah, yah, yah, yah",161.62586831734285,527.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,09IOPhEh1OMe0HD9b36FJk,Over Now,beerbongs & bentleys,0.569,0.777,4,-4.041,0,0.0834,0.139,0.0,0.132,0.181,164.027,246987,68,4/27/18,Post Malone,89,['Post Malone'],[39443916],"[['dfw rap', 'melodic rap', 'rap']]","Ah-ha-ha Yeah (Yeah, yeah, yeah) When you leave me, make me jump up off my roof Didn't faze you, would've given you the moon Even after everythin' that we've been through I ain't ever met nobody like you Why you always tryna tell me that it's cool? Need to quiet 'cause you never tell the truth Felt like ballin' was the only thing to do Trade my women for some diamonds and a coupe When she's comin' for my heart, it feels like Armageddon I'ma turn the tables, promise you will not forget it Won't apologize, don't give a fuck if you're offended No discussion, yeah, we gotta go our separate ways Won't take me down in flames I don't even wanna know your name Watch how everything is gonna change, yeah, ayy I'ma pull up in a Bentley With a fuckin' hundred thousand in my pocket, yeah, yeah I'ma pull in, swang my door open Stuntin', knowin' everybody watchin', yeah, yeah And help another bitch out the whip And I don't give a fuck if you don't like it, yeah, yeah Just to show you that it's over It don't matter what you gotta say about it, yeah I'ma put that bitch pussy in a motherfuckin' body bag So you know that I'm never ever comin' back You kept your heart on the counter in a Prada bag I used to never ever want to see the light of day, yeah I was an idiot! Beggin' on my knees on to the floor Now, I don't even want you anymore, anymore It's over now It's over now Yeah, yeah, yeah, ayy Feels like a knife in my throat, you treat this like it's a joke I bet you've done this before, I ain't surprised, yeah I wasn't tryna let go, but you'll know why when I'm a ghost I hope you wind up alone, dead in my eyes, yeah Ain't religious, only Christian when it's Dior Only prayin' for the Amex and the gold You ain't stop me, no, you only was a detour Tried to drive me crazy, you ran out of road When she's comin' for my heart, it feels like Armageddon I'ma turn the tables, promise you will not forget it Won't apologize, don't give a fuck if you're offended No discussion, yeah, we gotta go our separate ways Won't take me down in flames I don't even wanna know your name Watch how everything is gonna change, yeah, ayy I'ma pull up in a Bentley With a fuckin' hundred thousand in my pocket, yeah, yeah I'ma pull in, swang my door open Stuntin', knowin' everybody watchin', yeah, yeah And help another bitch out the whip And I don't give a fuck if you don't like it, yeah, yeah Just to show you that it's over It don't matter what you gotta say about it, yeah I'ma put that bitch pussy in a motherfuckin' body bag So you know that I'm never ever comin' back You kept your heart on the counter in a Prada bag I used to never ever want to see the light of day, yeah I was an idiot! Beggin' on my knees on to the floor Now, I don't even want you anymore, anymore It's over now ♪ It's over now (It's over now)",134.33905428220916,553.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),Hoodie SZN,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,189487,76,12/21/18,A Boogie Wit da Hoodie,84,"['A Boogie Wit da Hoodie', '6ix9ine']","[7053595, 6761587]","[['melodic rap', 'rap', 'trap'], ['emo rap', 'rap', 'trap']]","Uh Yeah Oh, that's London On Da Track, run that shit back We got London On Da Track Swervin' How you look so perfect on your worst days? Double C your purses, you deserve it Niggas in your DM, they be thirsty (Thirsty) And in person But you're curvin' Curvy little body, love your surface (Surface) Yeah, I'm all on your body, make you nervous I like the way you keep up with your earnings Yeah, it's okay, 'cause you swervin' I fuck you from the back and leave you turnin' (Turnin') The type to make you feel like I'm so worth it (Worth it) Blame my ex, that bitch, she did me dirty (Did me dirty) Had me fall in love and then she curved me (On God, swear to God, I don't wanna leave you, no) New Louboutin, you would think I'm bleedin' from my toes Dick all inside of you Make you freeze, make you pose I want you to get up on your knees and your toes I see one of my enemies They gon' freeze like they cold I swear I ain't no killer, but test me if you want You don't want my adrenaline rushin' Leave me alone (Leave me alone) So much shit up on my mind I can't think, yeah All my niggas rock designer like they scream (Grrat) Got the AP covered Diamonds with baguettes, yeah I thought everything was right That's when you left, yeah Swervin' (Swervin') How you look so perfect on your worst days? (Worst days) Double C your purses, you deserve it Niggas in your DM, they be thirsty (Thirsty) And in person (Person) But you're curvin' Curvy little body, love your surface (Surface) Yeah, I'm all on your body, make you nervous I like the way you keep up with your earnings Yeah, it's okay, 'cause you swervin' Where these bitches at? I'm in the V with the tints Got the FN on my body and The clip on hollow tips Niggas say they gon' rob me And they still ain't do shit Catch her waitin' in the lobby I'ma give her this dick Man, where these niggas at? Man Where these niggas at? We gon' pull up big bodies With the Rugers in the back I got Rugers and the MAC's Pump leave a nigga flat Talkin' hot, we spin the block We gon' leave him where he at Like, where these niggas at? Ayy, where these niggas at? I'ma pull up in the big body with the fuckin' MAC If the opps try to turn my song off, run it back Used to have the pack in my long johns, now I rap If a nigga wanna act out, got the MAC out I ain't got no fuckin' back-up, that's a man down I ain't got the fuckin' forty, knock his teeth out Spin back with the Ruger, air the block out Swervin' (Swervin') How you look so perfect On your worst days? (Worst days) Double C your purses, you deserve it Niggas in your DM, they be thirsty (Thirsty) And in person (Person) But you're curvin' Curvy little body, love your surface (Surface) Yeah, I'm all on your body, make you nervous I like the way you keep up with your earnings Yeah, it's okay, 'cause you swervin' The way that I live my life is amazing Back to back big bodies, no more dreams, yeah So much shit up on my mind, I couldn't think, yeah All my niggas rock designer like they scream, yeah Got the AP covered, diamonds with baguettes, yeah Say my name in your song and it's lit, yeah Been waiting for a nigga like this, yeah We got London On Da Track",197.9027585005832,625.0
Post Malone Radio,https://open.spotify.com/playlist/37i9dQZF1E4DdRMhQtk5hk,2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,221747,82,8/25/17,Lil Uzi Vert,87,"['Lil Uzi Vert', 'Oh Wonder']","[14377653, 1044727]","[['melodic rap', 'philly rap', 'rap', 'trap'], ['electropop']]","That's true (that's true) That's right (that right, that right) She's sipping Moët, and yeah, I swear it gets her wetter My Louboutins new, so my bottoms, they is redder No, I'm not a rat, but I'm all about my cheddar Just talked to your homie she said we should be together Gave me brain, was so insane that I made her my header If she ever call my phone you know I gotta dead her But I like that girl too much, I wish I never met her Hello ♪ I was listening to this song It go like I know it hurts sometimes, but you'll get over it (yeah) You'll find another life to live (yeah) I swear that you'll get over it I know you're sad and tired You've got nothing left to give (yeah) You'll find another life to live (yeah) I know that you'll get over it (yeah) Wish I never, ever, ever told you things I was only, only trying to show you things (yeah) Iced out heart on your neck tried to froze your ring I had to get a me a new bitch to hold the pain We was in Hawaii looking at the ring (damn, yeah) She smiling happy, but I'm laughing 'cause her new man a lame (Broke boy, broke boy, broke boy, broke boy) Damn, that just goes to show me money don't attract a thing (real shit) Stuck to the plan even though you used to go with my mans (yeah) I know it hurts sometimes, but you'll get over it (yeah) You'll find another life to live I swear that you'll get over it And I know you're sad and tired You've got nothing left to give (yeah) You'll find another life to live I know that you'll get over it See, I tied up my RAF you strapped up your Rick Diamonds on your neck, ice all on my wrist Complement my style She don't want me, I'm running wild You know I respect her on that level She don't want me, then I'ma let her (bye) Go over there with that broke fella (go over) Walk off my Saint Laurent, that leather, ooh My new chick, I swear that she better, ooh Want me back, never, ooh (ooh) That's true (that's true) That's right (that's right, that right) She's sipping Moët, and yeah, I swear it gets her wetter My Louboutins new, so my bottoms, they is redder No, I'm not a rat, but I'm all about my cheddar Just talked to your homie, she said we should be together Gave me brain, was so insane that I made her my header If she ever call my phone you know I gotta dead her But I like that girl too much, I wish I never met her I know it hurts sometimes, but you'll get over it (but why?) You'll find another life to live (you'll find) I swear that you'll get over it (you'll get over it) I know it hurts sometimes, but you'll get over it (no, no) You'll find another life to live (you will) I know that you'll get over it (oh) That's true, that's right She's sipping Moët, and yeah, I swear it gets her wetter My Louboutins new, so my bottoms, they is redder No, I'm not a rat, but I'm all about my cheddar Just talked to your homie, she said we should be together Gave me brain, was so insane that I made her my header If she ever call my phone you know I gotta dead her But I like that girl too much, I wish I never met her",166.13528029691494,614.0
